1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
1,5,10820,
1,6,14220,
2,8,58762,
2,8,62900,
2,7,40282,
