1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
1,MARY ,20,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
0,KERI ,10,
3,,40,
3,,40,
3,,40,
3,,40,
3,,40,
2,,30,
2,,30,
2,,30,
2,,30,
2,,30,
